TV_Living,Fridge,Oven,Washing_Machine,Microwave,Dryer,Hairdryer,StudyTable_Lamp,Computer,Laptop
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,0,1,0
1,1,0,1,0.25,1,0,1,1,0
1,1,0,0,0.25,1,0,1,1,0
1,1,0,0,0,1,0,1,0,0
1,1,0,0,0,1,0,1,0,0
0,1,0,0,0,1,0,1,0,0
0,1,0,0,0,1,0,1,0,0
0,1,0,0,0,1,0.25,1,1,0
0,1,0,0,0,1,0,1,1,0
0,1,0,0,0,0,0,1,1,1
0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,0,1